Mac address,IP address,Total number of acks
2c:44:fd:02:02:3b,10.119.127.14,95
2c:44:fd:02:02:3b,10.119.79.13,191
84:8e:0c:1d:58:60,10.172.219.117,2
9c:b7:0d:8a:29:65,10.145.192.1,12
c8:f6:50:d6:ce:be,10.119.222.25,6
c8:f6:50:e0:a3:12,10.142.221.22,4
2c:76:8a:3e:38:23,10.191.79.14,1
88:63:df:a7:d9:8d,10.192.205.137,2
00:24:81:0c:c9:dc,10.172.216.134,18
00:25:4b:8e:54:fb,10.192.192.1,61
6c:70:9f:7b:86:49,10.122.222.153,6
64:51:06:25:a7:0c,10.109.79.30,162
64:51:06:25:a7:0c,10.109.126.226,81
44:2a:60:db:a4:69,10.121.221.195,2
6c:70:9f:7a:50:8c,10.126.220.148,3
00:23:ae:34:77:4f,10.173.123.46,2
0c:3e:9f:45:48:fb,10.172.128.1,2
00:23:12:23:da:7c,10.109.221.143,2
0c:3e:9f:45:48:fb,10.172.164.91,6
78:3a:84:c5:8d:69,10.111.221.140,6
c8:f6:50:e7:b5:e1,10.122.222.160,6
44:2a:60:db:a3:bb,10.109.221.145,2
00:10:49:1c:28:2a,10.192.239.205,2
00:26:08:ef:c7:41,10.192.192.1,53
2c:44:fd:02:02:3b,10.119.0.1,47
c8:f6:50:a2:7c:c3,10.172.218.147,4
04:e5:36:01:8c:75,10.103.222.121,6
c8:f6:50:a7:1d:61,10.120.220.203,6
c8:f6:50:e5:24:10,10.173.216.1,4
c8:f6:50:cc:3d:be,10.144.219.137,4
c8:f6:50:a2:78:32,10.173.217.34,8
c8:f6:50:d5:84:dd,10.171.206.162,6
c8:f6:50:a1:a6:02,10.173.216.205,6
00:10:49:17:8b:63,10.191.239.223,2
78:fd:94:2d:cb:b3,10.191.209.43,4
78:fd:94:2f:3f:70,10.106.221.139,8
04:0c:ce:1b:3b:5c,10.146.222.205,4
78:3a:84:c8:01:63,10.120.220.175,8
c8:f6:50:cc:a9:55,10.145.220.49,4
80:00:0b:32:da:ca,10.145.221.69,1
c8:f6:50:d5:8b:86,10.115.220.177,6
6c:70:9f:78:9d:f6,10.172.219.34,6
c8:f6:50:a7:1a:94,10.101.221.138,4
04:e5:36:05:a3:30,10.103.222.91,4
c8:f6:50:5c:ea:f4,10.110.222.6,8
00:10:49:1c:26:0c,10.191.239.87,2
78:3a:84:cb:2e:72,10.111.221.113,6
c8:f6:50:cc:9e:de,10.144.219.147,6
c8:f6:50:a2:e9:e1,10.119.222.38,4
5c:96:9d:90:10:b9,10.115.222.216,25
04:0c:ce:1b:47:4f,10.146.222.202,2
c8:f6:50:ca:fc:5b,10.146.220.66,6
04:0c:ce:1b:31:99,10.123.223.10,2
c8:f6:50:a1:f5:df,10.111.221.110,6
c8:f6:50:cc:b0:87,10.144.219.146,6
c8:f6:50:58:7f:61,10.110.222.0,6
c8:f6:50:d6:e1:8c,10.119.222.42,4
c8:f6:50:a4:36:ea,10.119.222.36,4
64:51:06:25:a7:0c,10.109.0.1,41
c8:f6:50:cc:35:65,10.144.219.253,6
78:3a:84:c5:62:33,10.121.221.134,4
00:19:d1:f5:13:2b,10.172.126.126,1
78:fd:94:6b:78:28,10.126.220.31,6
6c:f3:7f:ca:30:fb,10.191.126.154,2
c8:f6:50:d5:a7:d2,10.103.221.84,4
c8:f6:50:c9:fe:7d,10.144.219.132,6
c8:f6:50:d5:4a:98,10.115.220.211,2
c8:f6:50:a1:b6:e3,10.106.222.23,6
1c:ab:a7:e6:a4:63,10.191.223.23,4
2c:f0:ee:1e:6d:70,10.124.222.66,2
c8:f6:50:a1:e7:40,10.141.217.16,4
2c:f0:ee:21:a4:f8,10.124.222.38,2
78:3a:84:8f:c1:be,10.122.221.135,4
2c:f0:ee:21:e8:88,10.124.222.67,2
c8:f6:50:cd:bc:25,10.147.219.16,8
2c:f0:ee:1e:97:da,10.124.222.37,2
c8:f6:50:cc:5c:0b,10.172.216.146,4
6c:70:9f:7b:7c:18,10.122.222.140,4
2c:f0:ee:21:dc:d6,10.124.222.69,2
c8:f6:50:d6:b5:21,10.115.220.109,2
c8:f6:50:d7:2e:31,10.119.221.105,6
78:3a:84:cb:d4:41,10.105.198.216,4
00:ee:bd:bc:21:6d,172.31.98.200,4
a8:88:08:c9:25:7f,10.103.222.127,6
c8:f6:50:cc:40:48,10.144.219.178,6
04:e5:36:02:d2:ba,10.103.222.101,4
c8:f6:50:e6:87:aa,10.103.222.9,6
04:0c:ce:1b:3e:8d,10.114.223.37,2
78:3a:84:bb:08:76,10.122.221.118,10
00:10:49:1b:d5:53,10.173.239.164,2
c8:f6:50:ca:f0:c1,10.144.220.88,8
00:10:49:1b:d5:3f,10.173.239.208,2
2c:f0:ee:21:64:c8,10.173.215.125,2
d8:c7:c8:c9:d0:97,10.113.107.120,2
78:3a:84:ca:79:70,10.104.221.16,4
6c:70:9f:79:69:29,10.126.220.149,4
2c:f0:ee:1e:94:32,10.124.192.1,1
78:fd:94:40:c4:2f,10.122.221.133,4
0c:3e:9f:45:48:fb,10.191.128.1,1
78:3a:84:cb:4b:da,10.121.221.142,6
2c:f0:ee:1e:94:32,10.124.222.17,3
0c:3e:9f:45:48:fb,10.191.180.153,7
c8:f6:50:a4:3a:32,10.119.222.50,4
78:3a:84:ab:fd:ce,10.126.219.73,4
c8:f6:50:a1:96:5d,10.111.221.124,6
80:00:0b:21:69:c0,10.145.219.159,1
78:3a:84:c9:cb:91,10.111.221.117,6
78:3a:84:cf:2d:53,10.106.221.124,6
6c:70:9f:7b:25:db,10.122.222.92,6
c8:f6:50:d6:ba:9f,10.173.216.9,4
c8:f6:50:cc:31:e5,10.143.219.167,6
78:3a:84:c4:22:41,10.106.221.151,6
c8:f6:50:a2:74:71,10.173.216.13,6
c8:f6:50:cc:2b:0b,10.147.219.7,6
84:29:99:37:f4:5f,10.173.222.229,4
c8:f6:50:a3:a1:fd,10.191.208.199,4
78:3a:84:d0:3d:5f,10.111.221.139,6
c8:f6:50:d5:f0:a6,10.171.206.198,8
78:3a:84:b6:2c:23,10.122.221.125,4
c8:f6:50:e7:79:2a,10.101.222.64,6
c8:f6:50:a1:9c:24,10.120.220.202,8
c8:f6:50:a1:1f:f0,10.126.220.46,6
c8:f6:50:d5:a8:a6,10.119.221.87,6
6c:70:9f:7a:1a:81,10.126.220.141,6
78:3a:84:cd:0f:06,10.111.221.109,4
c8:f6:50:d5:d2:9e,10.115.220.168,4
c8:f6:50:a1:d1:ed,10.120.221.27,6
c8:f6:50:cc:bc:60,10.144.219.148,8
3c:4a:92:41:29:4f,10.104.0.1,5
3c:4a:92:41:29:4f,10.104.79.19,5
6c:70:9f:7b:7b:ca,10.126.220.180,4
6c:70:9f:7b:5c:e3,10.126.220.172,6
04:0c:ce:1b:3f:33,10.173.165.121,2
00:23:12:25:49:68,10.114.222.42,2
c8:f6:50:ca:2a:4b,10.143.219.191,6
04:0c:ce:1b:45:3d,10.144.222.11,2
04:0c:ce:1b:39:bf,10.144.222.15,2
6c:70:9f:7b:85:fe,10.122.222.94,4
c8:f6:50:a3:02:3b,10.126.220.8,4
78:3a:84:b8:9d:0b,10.131.222.156,6
c8:f6:50:d5:f5:1b,10.125.222.79,4
c8:f6:50:a3:9e:b5,10.119.222.24,6
c8:f6:50:df:f2:a9,10.103.222.39,4
78:3a:84:c9:44:ac,10.120.220.10,4
c8:f6:50:e1:e4:63,10.173.216.8,6
78:3a:84:cf:5a:97,10.122.221.141,4
78:3a:84:ac:08:3b,10.119.222.0,2
c8:f6:50:e0:df:39,10.119.222.49,4
04:0c:ce:1b:47:0a,10.171.220.8,2
00:23:12:25:3c:d0,10.146.223.130,2
c8:f6:50:d4:bc:d6,10.119.222.31,4
00:23:12:25:60:57,10.120.220.58,2
c8:f6:50:d7:3a:33,10.125.222.67,6
78:3a:84:8c:ec:52,10.126.218.147,4
c8:f6:50:cd:65:8e,10.144.219.221,4
c8:f6:50:e3:2e:8c,10.126.220.131,6
c8:f6:50:d7:28:f9,10.115.220.120,8
4c:b1:99:34:ee:ff,10.191.223.62,6
c8:f6:50:a1:ab:fc,10.123.220.203,4
c8:f6:50:a1:90:85,10.111.221.127,6
00:19:d1:e8:ad:b8,10.103.126.255,1
2c:f0:ee:97:42:17,10.171.206.234,4
c8:f6:50:a1:ed:cf,10.120.221.37,4
10:68:3f:4a:47:c5,10.191.155.13,4
a8:88:08:95:82:55,10.103.222.92,6
64:31:50:33:f3:30,10.2.248.255,1
64:31:50:33:f3:30,10.2.9.10,2
c8:f6:50:d4:9e:cd,10.106.221.192,4
d8:c7:c8:c9:d0:47,10.113.107.121,2
04:0c:ce:1b:41:9b,10.144.222.18,2
c8:f6:50:a1:d7:dc,10.111.221.121,6
c8:f6:50:d5:c6:6c,10.105.200.11,10
78:4b:87:50:05:7c,10.191.128.1,4
c8:f6:50:d5:3a:f6,10.103.221.60,6
78:4b:87:50:05:7c,10.191.177.116,6
00:25:4b:95:24:58,10.111.221.208,2
6c:70:9f:7b:34:e1,10.126.220.139,6
c8:f6:50:cc:65:1c,10.144.219.159,8
c8:f6:50:a1:9a:97,10.173.216.188,6
78:3a:84:92:bb:8c,10.114.222.17,4
00:10:49:12:01:26,10.2.226.51,2
78:3a:84:c6:a9:25,10.121.222.4,4
c8:f6:50:d7:32:c7,10.115.220.137,10
00:10:49:16:d1:4d,10.191.239.242,2
c8:f6:50:a1:98:26,10.101.222.66,4
c8:f6:50:d5:e8:ac,10.172.217.181,2
00:1a:4b:0f:18:0a,10.147.79.26,2
00:23:12:25:39:61,10.109.221.146,2
6c:70:9f:7a:9e:58,10.126.220.169,4
10:9a:dd:54:ec:83,10.191.102.252,2
c8:f6:50:cd:63:26,10.171.205.185,2
5c:96:9d:8f:a0:b5,10.126.222.40,2
c8:f6:50:cc:44:99,10.171.205.240,2
78:3a:84:ca:8d:64,10.121.221.132,4
a0:b3:cc:9f:72:33,10.191.79.35,2
c8:f6:50:a1:d9:56,10.105.200.7,6
c8:f6:50:e1:5c:6f,10.173.215.254,6
78:3a:84:b1:b1:f1,10.144.220.141,6
c8:f6:50:a1:fa:c1,10.106.222.43,6
c8:f6:50:e3:b4:24,10.173.217.79,6
a8:88:08:ce:56:f7,10.171.214.243,4
00:10:49:17:8b:59,10.191.239.159,2
c8:f6:50:d6:e1:01,10.119.221.99,6
78:3a:84:ca:fe:41,10.104.221.9,4
78:3a:84:8a:27:1f,10.122.221.128,4
04:0c:ce:1b:3e:bf,10.172.221.88,2
c8:f6:50:a1:e6:d1,10.101.222.68,4
2c:f0:ee:22:8b:96,10.104.221.49,2
00:10:49:17:8a:9d,10.191.239.167,2
c8:f6:50:cc:35:f3,10.144.219.145,4
78:3a:84:ad:aa:a2,10.122.221.117,8
78:3a:84:93:08:11,10.122.221.142,6
78:fd:94:2f:d6:90,10.142.220.252,2
78:3a:84:b1:5c:dc,10.104.220.254,4
6c:f3:7f:ca:31:03,10.192.125.244,2
78:3a:84:cc:9b:20,10.120.219.239,4
c8:f6:50:d5:a9:d3,10.172.217.176,2
00:10:49:1c:27:05,10.191.239.119,2
78:fd:94:3e:db:de,10.120.219.244,2
04:0c:ce:1b:44:84,10.143.222.62,4
c8:f6:50:a1:d2:97,10.173.216.192,4
6c:70:9f:7b:5b:87,10.122.222.145,4
